id;time_seconds;temperature
813;157500;56.88623
814;157800;57.00013
815;158100;57.14147
816;158400;57.20124
817;158700;57.26402
818;159000;57.29188
819;159300;57.31816
820;159600;57.33144
821;159900;57.34195
822;160200;57.34771
823;160500;57.35181
824;160800;57.35464
825;161100;57.42509
826;161400;57.58093
827;161700;57.68671
828;162000;57.79538
829;162300;57.84142
830;162600;57.89528
831;162900;57.91494
832;163200;57.93962
833;163500;57.94829
834;163800;57.99210
835;164100;58.07896
836;164400;58.25297
837;164700;58.34572
838;165000;58.43363
839;165300;58.46955
840;165600;56.87812
841;165900;56.89882
842;166200;56.91753
843;166500;56.92741
844;166800;56.93510
845;167100;56.93988
846;167400;56.94299
847;167700;56.94527
848;168000;56.94644
849;168300;56.94764
850;168600;56.94814
851;168900;56.94867
852;169200;56.94887
853;169500;56.94910
854;169800;56.94917
855;170100;56.94929
856;170400;56.94931
857;170700;56.95904
858;171000;57.02595
859;171300;57.25637
860;171600;57.45093
861;171900;57.78831
862;172200;57.95795
863;172500;58.12827
864;172800;58.21762
865;173100;58.29558
866;173400;58.34184
867;173700;58.37093
868;174000;58.38812
869;174300;58.39795
870;174600;58.40402
871;174900;58.40725
872;175200;58.40948
873;175500;58.41056
874;175800;58.41138
875;176100;58.41174
876;176400;58.41423
877;176700;58.51116
878;177000;58.74790
879;177300;58.88249
880;177600;59.00387
881;177900;59.05575
882;178200;59.08073
883;178500;58.96860
884;178800;58.74969
885;179100;58.63317
886;179400;58.58052
887;179700;58.70003
888;180000;58.87859
889;180300;58.97430
890;180600;59.04995
891;180900;59.08869
892;181200;59.11553
893;181500;59.12926
894;181800;59.14535
895;182100;59.25873
896;182400;59.47382
897;182700;59.63866
898;183000;59.68703
899;183300;59.41566
900;183600;59.18304
901;183900;58.96396
902;184200;58.91841
903;184500;58.98765
904;184800;59.11290
905;185100;59.16708
906;185400;59.16662
907;185700;59.16146
908;186000;59.23278
909;186300;59.47274
910;186600;59.61411
911;186900;59.74365
912;187200;60.62234
913;187500;60.53309
914;187800;60.28034
915;188100;60.05610
916;188400;59.94455
917;188700;59.85660
918;189000;59.71070
919;189300;59.50242
920;189600;59.36872
921;189900;59.27967
922;190200;59.22945
923;190500;59.20000
924;190800;59.18146
925;191100;59.17201
926;191400;59.16502
927;191700;59.08175
928;192000;58.89863
929;192300;58.78240
930;192600;58.68574
931;192900;58.64226
932;193200;58.60691
933;193500;58.59217
934;193800;58.57984
935;194100;58.57465
936;194400;58.58704
937;194700;58.70747
938;195000;58.88758
939;195300;58.94193
940;195600;58.83346
941;195900;58.74047
942;196200;58.66819
943;196500;58.62704
944;196800;58.60198
945;197100;58.58648
946;197400;58.57820
947;197700;58.57258
948;198000;58.56995
949;198300;58.56793
950;198600;58.56703
951;198900;58.56631
952;199200;58.56691
953;199500;58.66033
954;199800;58.80296
955;200100;58.95550
956;200400;59.02733
957;200700;59.08523
958;201000;59.11180
959;201300;59.13118
960;201600;59.14097
961;201900;59.14741
962;202200;59.15135
963;202500;59.15350
964;202800;59.15467
965;203100;59.15440
966;203400;59.08624
967;203700;58.92386
968;204000;58.77836
969;204300;58.69975
970;204600;58.57839
971;204900;58.40253
972;205200;58.22379
973;205500;58.13683
974;205800;58.06404
975;206100;58.03144
976;206400;58.00556
977;206700;57.98816
978;207000;57.83933
979;207300;57.69550
980;207600;57.55012
981;207900;57.48271
982;208200;57.42791
983;208500;57.39810
984;208800;57.23687
985;209100;57.07519
986;209400;56.93338
987;209700;56.85799
988;210000;56.80564
989;210300;56.77724
990;210600;56.70940
991;210900;56.54422
992;211200;56.38727
993;211500;56.28011
994;211800;56.12055
995;212100;55.88057
996;212400;55.59118
997;212700;55.31759
998;213000;55.13350
999;213300;54.84830
1000;213600;54.66916
1001;213900;54.58343
1002;214200;54.66016
1003;214500;54.76149
1004;214800;54.73746
1005;215100;54.58616
1006;215400;54.49418
1007;215700;54.41314
1008;216000;54.37562
1009;216300;54.34705
1010;216600;54.33326
1011;216900;54.32357
1012;217200;54.31861
1013;217500;54.31537
1014;217800;54.31358
1015;218100;54.29525
1016;218400;54.16558
1017;218700;54.00968
1018;219000;53.88327
1019;219300;53.81379
1020;219600;53.76709
1021;219900;53.74602
1022;220200;53.65184
1023;220500;53.49777
1024;220800;53.33505
1025;221100;53.25890
1026;221400;53.19464
1027;221700;53.16711
1028;222000;53.14477
1029;222300;53.07934
1030;222600;52.88612
1031;222900;52.76381
1032;223200;52.66157
1033;223500;52.61116
1034;223800;52.57531
1035;224100;52.55636
1036;224400;52.54378
1037;224700;52.53689
1038;225000;52.51583
1039;225300;52.39150
1040;225600;52.23507
1041;225900;52.11201
1042;226200;52.04607
1043;226500;51.99673
1044;226800;51.97398
1045;227100;51.95670
1046;227400;51.94901
1047;227700;51.94286
1048;228000;51.94021
1049;228300;51.93807
1050;228600;51.93713
1051;228900;51.93639
1052;229200;51.93605
1053;229500;51.93580
1054;229800;51.93750
1055;230100;52.05043
1056;230400;52.20670
1057;230700;52.33186
1058;231000;52.41037
1059;231300;52.45598
1060;231600;52.48588
1061;231900;52.50090
1062;232200;52.51740
1063;232500;52.62626
1064;232800;52.81094
1065;233100;52.91746
1066;233400;53.00624
1067;233700;53.04532
1068;234000;53.07796
1069;234300;53.09206
1070;234600;53.10341
1071;234900;53.11084
1072;235200;53.22423
1073;235500;53.37283
1074;235800;53.51336
1075;236100;53.58577
1076;236400;53.63957
1077;236700;53.72910
1078;237000;53.92836
1079;237300;54.07510
1080;237600;54.17480
1081;237900;54.22951
1082;238200;54.26035
1083;238500;54.28215
1084;238800;54.29296
1085;239100;54.30160
1086;239400;54.38941
1087;239700;54.57771
1088;240000;54.69374
1089;240300;54.84627
1090;240600;55.03611
1091;240900;55.23992
1092;241200;55.33785
1093;241500;55.41828
1094;241800;55.45352
1095;242100;55.48339
1096;242400;55.56083
1097;242700;55.76255
1098;243000;55.88844
1099;243300;55.98781
1100;243600;56.03803
1101;243900;56.07226
1102;244200;56.09129
1103;244500;56.10337
1104;244800;56.12539
1105;245100;56.27857
1106;245400;56.45234
1107;245700;56.55500
1108;246000;56.63355
1109;246300;56.66990
1110;246600;56.69874
1111;246900;56.71131
1112;247200;56.72145
1113;247500;56.72581
1114;247800;56.72934
1115;248100;56.73091
1116;248400;56.73211
1117;248700;56.73268
1118;249000;56.75726
1119;249300;56.88975
1120;249600;57.06669
1121;249900;57.18058
1122;250200;57.25348
1123;250500;57.29746
1124;250800;57.32201
1125;251100;57.33852
1126;251400;57.34654
1127;251700;57.35253
1128;252000;55.84402
